system_id,sample_coordinate_id,ProjektNr,Befu,ProbNr,coordinate_type,coordinate_value
322,,19_0014,A7263,19_0014_0030,KoordY,0.0
323,,19_0014,A7294,19_0014_0013,KoordY,0.0
324,,19_0014,A7306,19_0014_0036,KoordY,0.0
325,,19_0014,A785,19_0014_0043,KoordY,0.0
326,,19_0014,A8079,19_0014_0007,KoordY,0.0
327,,19_0014,A8103,19_0014_0009,KoordY,0.0
328,,19_0014,A8114,19_0014_0011,KoordY,0.0
329,,19_0014,A8142,19_0014_0026,KoordY,0.0
330,,19_0014,A8178,19_0014_0031,KoordY,0.0
331,,19_0014,A8189,19_0014_0012,KoordY,0.0
332,,19_0014,A8234,19_0014_0010,KoordY,0.0
333,,19_0014,A9000,19_0014_0027,KoordY,0.0
334,,19_0014,A9052,19_0014_0028,KoordY,0.0
335,,19_0014,A9075,19_0014_0003,KoordY,0.0
336,,19_0014,A9111,19_0014_0001,KoordY,0.0
337,,19_0014,A9126,19_0014_0004,KoordY,0.0
338,,19_0014,A9199,19_0014_0006,KoordY,0.0
339,,19_0014,A957,19_0014_0064,KoordY,0.0
340,,19_0014,A973,19_0014_0065,KoordY,0.0
341,,19_0014,A9847,19_0014_0002,KoordY,0.0
342,,22_0005,11200,22_0005_0001,KoordY,0.0
343,,22_0005,11201,22_0005_0002,KoordY,0.0
344,,22_0005,11221,22_0005_0003,KoordY,0.0
345,,22_0005,12026,22_0005_0004,KoordY,0.0
346,,22_0005,200125,22_0005_0012,KoordY,0.0
347,,22_0005,200149,22_0005_0013,KoordY,0.0
348,,22_0005,200177,22_0005_0009,KoordY,0.0
349,,22_0005,200473,22_0005_0005,KoordY,0.0
350,,22_0005,200475,22_0005_0006,KoordY,0.0
351,,22_0005,23362,22_0005_0010,KoordY,0.0
352,,22_0005,23434,22_0005_0007,KoordY,0.0
353,,22_0005,23491,22_0005_0008,KoordY,0.0
354,,22_0005,23988,22_0005_0011,KoordY,0.0
355,,22_0015,A2076,22_0015_0017,KoordY,
356,,22_0015,A2154,22_0015_0020,KoordY,
357,,22_0015,A2874 G2976,22_0015_0014,KoordY,
358,,22_0015,A4796,22_0015_0013,KoordY,
359,,22_0015,M153 St 1,22_0015_0006,KoordY,
360,,22_0015,M153 St 2,22_0015_0007,KoordY,
361,,22_0015,M160 St 1,22_0015_0001,KoordY,
362,,22_0015,M167 St 1,22_0015_0002,KoordY,
363,,22_0015,M167 St 2,22_0015_0003,KoordY,
364,,22_0015,M167 St 3,22_0015_0004,KoordY,
365,,22_0015,M167 St 4,22_0015_0005,KoordY,
366,,22_0015,M32 Undre del,2022_0015_0009,KoordY,
367,,22_0015,M32 Övre del,2022_0015_0008,KoordY,
368,,22_0015,M99 A5085,2022_0015_0010,KoordY,
369,,22_0015,M99 A5085,2022_0015_0012,KoordY,
370,,DanaBunar2,31,17 depth 0.10-0.20,KoordY,0.0
371,,DanaBunar2,31,17a depth 0.00-0.20,KoordY,0.0
372,,DanaBunar2,32,51 depth 0.00-0.10,KoordY,0.0
373,,DanaBunar2,32,52 depth 0.10-0.20,KoordY,0.0
374,,DanaBunar2,32,53 depth 0.00-0.10,KoordY,0.0
375,,DanaBunar2,33,18 depth 0.20-0.30,KoordY,0.0
376,,DanaBunar2,33,19 depth 0.00-0.10,KoordY,0.0
377,,DanaBunar2,33,20 depth 0.10-0.30,KoordY,0.0
378,,DanaBunar2,33,21 depth 0.30-0.40,KoordY,0.0
379,,DanaBunar2,33,22 depth 0.20-0.30,KoordY,0.0
380,,DanaBunar2,37,39 depth 0.10-0.20,KoordY,0.0
381,,DanaBunar2,37,40 depth 0.20-0.30,KoordY,0.0
382,,DanaBunar2,37,41 depth 0.00-0.10,KoordY,0.0
383,,DanaBunar2,37,42 depth 0.00-0.10,KoordY,0.0
384,,DanaBunar2,38,1 depth 0.48-0.58,KoordY,0.0
385,,DanaBunar2,38,2 depth 0.35-0.45,KoordY,0.0
386,,DanaBunar2,38,3 depth 0.35-0.45,KoordY,0.0
387,,DanaBunar2,38,4 depth 0.00-0.10,KoordY,0.0
388,,DanaBunar2,38,5 depth 0.30-0.50,KoordY,0.0
389,,DanaBunar2,39,47 depth 0.00-0.10,KoordY,0.0
390,,DanaBunar2,39,48 depth 0.10-0.20,KoordY,0.0
391,,DanaBunar2,41,44 depth 0.00-0.10,KoordY,0.0
392,,DanaBunar2,41,46 depth 0.30-0.40,KoordY,0.0
393,,DanaBunar2,42,10 depth 0.10-0.20,KoordY,0.0
394,,DanaBunar2,42,6 depth 0.00-0.10,KoordY,0.0
395,,DanaBunar2,42,7 depth 0.00-0.10,KoordY,0.0
396,,DanaBunar2,42,8 depth 0.10-0.20,KoordY,0.0
397,,DanaBunar2,42,9 depth 0.10-0.20,KoordY,0.0
398,,DanaBunar2,44,87 depth 0.06-0.16,KoordY,0.0
399,,DanaBunar2,44,88 depth 0.20-0.30,KoordY,0.0
400,,DanaBunar2,44,89 depth 0.30-0.40,KoordY,0.0
401,,DanaBunar2,44,90 depth 0.16-0.26,KoordY,0.0
402,,DanaBunar2,44,91 depth 0.10-0.20,KoordY,0.0
403,,DanaBunar2,44,92 depth 0.00-0.10,KoordY,0.0
404,,DanaBunar2,44,93 depth 0.30-0.40,KoordY,0.0
405,,DanaBunar2,46,30 depth 0.60-0.70,KoordY,0.0
406,,DanaBunar2,46,31 depth 0.50-0.60,KoordY,0.0
407,,DanaBunar2,46,32 depth 0.60-0.70,KoordY,0.0
408,,DanaBunar2,46,33 depth 0.30-0.40,KoordY,0.0
409,,DanaBunar2,46,34 depth 0.40-0.50,KoordY,0.0
410,,DanaBunar2,46,35 depth 0.30-0.40,KoordY,0.0
411,,DanaBunar2,47,49 depth 0.10-0.20,KoordY,0.0
412,,DanaBunar2,47,50 depth 0.10-0.20,KoordY,0.0
413,,DanaBunar2,55,54 depth 1.00-1.10,KoordY,0.0
414,,DanaBunar2,55,55 depth 1.00-1.10,KoordY,0.0
415,,DanaBunar2,58,23 depth 0.10-0.20,KoordY,0.0
416,,DanaBunar2,58,24 depth 0.30-0.40,KoordY,0.0
417,,DanaBunar2,58,25 depth 0.00-0.10,KoordY,0.0
418,,DanaBunar2,58,26 depth 0.10-0.20,KoordY,0.0
419,,DanaBunar2,58,27 depth 0.30-0.40,KoordY,0.0
420,,DanaBunar2,58,28 depth 0.20-0.30,KoordY,0.0
421,,DanaBunar2,64,11 depth 0.10-0.20,KoordY,0.0
422,,DanaBunar2,64,12 depth 0.36-0.46,KoordY,0.0
423,,DanaBunar2,64,13 depth 0.26-0.36,KoordY,0.0
424,,DanaBunar2,64,16 depth 0.48-0.58,KoordY,0.0
425,,Iswid,2709_fond,Isw 2013/32,KoordY,
426,,Iswid,2905 fond,Isw 2013/26,KoordY,
427,,Iswid,2913 fond,Isw 2013/33,KoordY,
428,,Iswid,foyer 2174,Isw 2013/15,KoordY,
429,,Iswid,US 10503,Isw 2013/8,KoordY,
430,,Iswid,US 10521,Isw 2013/20,KoordY,
431,,Iswid,US 10534,Isw 2013/21,KoordY,
432,,Iswid,US 10610,Isw 2013/25,KoordY,
433,,Iswid,US 11004,Isw 2013/22,KoordY,
434,,Iswid,US 11012,Isw 2013/27,KoordY,
435,,Iswid,US 11067,Isw 2013/28,KoordY,
436,,Iswid,US 12025,Isw 2013/25,KoordY,
437,,Iswid,US 12040,Isw 2013/29,KoordY,
438,,Iswid,US 12047,Isw 2013/30,KoordY,
439,,Iswid,US 12504,Isw 2013/31,KoordY,
440,,Iswid,US 13017,Isw 2015/18,KoordY,
441,,Iswid,US 13017,Isw 2016/41,KoordY,
442,,Iswid,US 13065,Isw 2015/25,KoordY,
443,,Iswid,US 13066,Isw 2015/4,KoordY,
444,,Iswid,US 13083,Isw 2015/22,KoordY,
445,,Iswid,US 13099,Isw 2015/9,KoordY,
446,,Iswid,US 13145,Isw 2015/21,KoordY,
447,,Iswid,US 13516,Isw 2015/8,KoordY,
448,,Iswid,US 13526,Isw 2015/2,KoordY,
449,,Iswid,US 13572,Isw 2015/12,KoordY,
450,,Iswid,US 13610,Isw 2015/11,KoordY,
451,,Iswid,US 13632,Isw 2016/15,KoordY,
452,,Iswid,US 13639,Isw2015/26,KoordY,
453,,Iswid,US 13657,Isw 2015/17,KoordY,
454,,Iswid,US 13705,Isw 2015/10,KoordY,
