sample_id,taxon_id,PCODE,ProjektNr,Befu,ProbNr,TaxAut,BNam
36,52,POACE,19_0014,A12034,19_0014_0058,,Poaceae
36,12,POAVI,19_0014,A12034,19_0014_0058,,Polygonum aviculare agg.
36,50,POLAP,19_0014,A12034,19_0014_0058,L.,Polygonum lapathifolium agg.
36,13,POLCO,19_0014,A12034,19_0014_0058,(L.) A. Löve,Polygonum convolvulus
36,73,POPER,19_0014,A12034,19_0014_0058,L.,Polygonum persicaria
36,74,POTE,19_0014,A12034,19_0014_0058,L.,Potentilla spec.
36,16,RANU,19_0014,A12034,19_0014_0058,L.,Ranunculus spec.
36,19,SOLA,19_0014,A12034,19_0014_0058,L.,Solanum spec.
36,20,SPARV,19_0014,A12034,19_0014_0058,L.,Spergula arvensis
36,22,STMES,19_0014,A12034,19_0014_0058,,Stellaria media
36,75,TRIF,19_0014,A12034,19_0014_0058,L.,Trifolium spec.
36,76,TYARU,19_0014,A12034,19_0014_0058,L.,Phalaris arundinacea
37,35,CARE,19_0014,A12435,19_0014_0069,,Carex spec.
37,44,CEREA,19_0014,A12435,19_0014_0069,,Cerealia indet.
