system_id,result_id,Befu,PCODE,ProbNr,ProjektNr,RTyp,SumFAnzahl,SumFFrag,SumFGewicht,SumPflR,Zust,cf,geschätzt,method_indicator,method_type
205,,A6214,RANU,19_0013_0007,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
206,,A6214,SONIG,19_0013_0007,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
207,,A6214,SPARV,19_0013_0007,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
208,,A6214,STMES,19_0013_0007,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
209,,A6214,BRAS,19_0013_0008,19_0013,Sa/Fr,3.0,0.0,0.0,3,vk,-,,,"ORG2,0"
210,,A6214,CEREA,19_0013_0008,19_0013,Sa/Fr,15.0,0.0,0.0,15,vk,-,,,"ORG2,0"
211,,A6214,CHALB,19_0013_0008,19_0013,Sa/Fr,7.0,0.0,0.0,7,vk,-,,,"ORG2,0"
212,,A6214,HODIV,19_0013_0008,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
213,,A6214,INDET,19_0013_0008,19_0013,Zwei,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
214,,A6214,POLAP,19_0013_0008,19_0013,Sa/Fr,4.0,0.0,0.0,4,vk,-,,,"ORG2,0"
215,,A6214,STMES,19_0013_0008,19_0013,Sa/Fr,2.0,0.0,0.0,2,vk,-,,,"ORG2,0"
216,,A6214,TRAED,19_0013_0008,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
217,,A6214,CARE,19_0013_0009,19_0013,Sa/Fr,1.0,0.0,0.0,1,vk,-,,,"ORG2,0"
